grupo, algorithm, domain, instance, cost, generated, time, gen_per_sec
2, dfid, 11puzzle , "0 5 6 3 4 1 2 7 8 9 10 11 12 13 14 15", 5, 184035, 0.014761, 1.24677e+07
2, dfid, 11puzzle , "8 7 6 2 1 0 3 4 5 14 9 13 12 11 10 15", 6, 5797962, 0.162602, 3.56574e+07
2, dfid, 11puzzle , "11 12 13 14 15 10 9 8 0 1 5 4 6 7 3 2", 6, 2949817, 0.081744, 3.6086e+07
2, dfid, 11puzzle , "1 2 3 4 5 6 7 8 9 0 10 11 12 13 14 15", 2, 129, 2.2e-05, 5.86364e+06
2, dfid, 11puzzle , "2 3 4 5 6 7 8 12 11 10 9 1 0 13 14 15", 3, 2181, 8.8e-05, 2.47841e+07
2, dfid, 11puzzle , "6 5 4 3 2 7 8 9 10 11 12 13 1 0 14 15", 3, 1021, 3.3e-05, 3.09394e+07
2, dfid, 11puzzle , "0 1 2 3 4 5 6 11 12 8 9 10 7 13 14 15", 6, 3835778, 0.110413, 3.47403e+07
2, dfid, 11puzzle , "7 5 4 3 2 1 0 8 9 6 10 11 12 13 14 15", 4, 25553, 0.002378, 1.07456e+07
2, dfid, 11puzzle , "7 8 6 5 4 3 2 1 0 10 11 9 12 13 14 15", 4, 5238, 0.000228, 2.29737e+07
2, dfid, 11puzzle , "15 5 11 2 12 7 6 13 8 4 3 14 9 10 0 1", na, na, na, na
2, dfid, 11puzzle , "4 5 6 7 8 0 1 9 10 3 2 11 12 13 14 15", 5, 361672, 0.014669, 2.46555e+07
2, dfid, 11puzzle , "14 13 12 0 1 2 3 4 6 5 7 8 9 10 11 15", 5, 379919, 0.017103, 2.22136e+07
2, dfid, 11puzzle , "4 5 6 7 8 9 10 11 12 3 2 1 0 13 14 15", 2, 132, 8e-06, 1.65e+07
2, dfid, 11puzzle , "6 0 11 5 9 14 10 3 12 15 7 8 2 13 4 1", na, na, na, na
2, dfid, 11puzzle , "15 14 13 0 1 2 3 4 12 11 10 9 8 7 6 5", 3, 3296, 0.000117, 2.81709e+07
2, dfid, 11puzzle , "10 6 9 3 4 5 15 0 1 2 8 13 12 7 11 14", na, na, na, na
2, dfid, 11puzzle , "8 7 3 6 5 4 2 1 15 0 9 10 11 12 13 14", 8, 132611319, 3.53979, 3.74631e+07
2, dfid, 11puzzle , "1 15 14 13 12 11 10 9 0 2 3 4 8 6 7 5", 8, 890020886, 23.5091, 3.78586e+07
2, dfid, 11puzzle , "7 9 8 1 2 3 4 5 6 10 0 11 12 13 14 15", 6, 1261988, 0.039775, 3.17282e+07
